task,input,output,possible_outputs
sentence_similarity,Sentence 1: the man is catching a ball Sentence 2: A man is kicking a ball.,3 - probably,
sentence_similarity,Sentence 1: A man is cutting a potato. Sentence 2: A woman plays an electric guitar.,0 - definitely not,
sentence_similarity,Sentence 1: A woman is carrying a boy. Sentence 2: A woman is carrying her baby.,2 - possibly,
sentence_similarity,Sentence 1: A woman is riding a horse along a perimeter. Sentence 2: A dog is riding a skateboard.,1 - probably not,
sentence_similarity,Sentence 1: At least 38 Morsi supporters die in clashes Sentence 2: Dozens of Morsi supporters killed in Egypt clashes,4 - almost perfectly,
sentence_similarity,Sentence 1: A man plays the violin. Sentence 2: A man is playing violin.,5 - perfectly,
sentence_similarity,Sentence 1: A girl is riding a horse. Sentence 2: The girl trotted the horse.,4 - almost perfectly,
sentence_similarity,Sentence 1: A man and a woman walk through the woods. Sentence 2: The man and woman are walking.,3 - probably,
sentence_similarity,Sentence 1: This dog is jumping through the water. Sentence 2: Two dogs running through the water on a beach.,2 - possibly,
sentence_similarity,Sentence 1: A smiling woman holding a small baby. Sentence 2: Two smiling women holding a baby.,3 - probably,
sentence_similarity,Sentence 1: A man is climbing a rope. Sentence 2: A man climbs a rope.,5 - perfectly,
sentence_similarity,Sentence 1: A band is performing on a stage. Sentence 2: A band is playing onstage.,5 - perfectly,
sentence_similarity,Sentence 1: The girl sang into a microphone. Sentence 2: The lady sang into the microphone.,2 - possibly,
sentence_similarity,Sentence 1: A dog and a red ball in the air. Sentence 2: A dog digs a hole in a yard.,1 - probably not,
sentence_similarity,Sentence 1: House blaze kills 7 in northern Pakistan Sentence 2: US drone strike kills 8 in NW Pakistan,1 - probably not,
sentence_similarity,Sentence 1: Australia cuts rates to record low Sentence 2: Australia cuts interest rates to record low,5 - perfectly,
sentence_similarity,"Sentence 1: Spanish jobless rate soars past 25 per cent Sentence 2: US jobless rate seen rising, offering Obama no relief",1 - probably not,
sentence_similarity,Sentence 1: Attack kills 12 in Afghanistan Sentence 2: NATO: 3 troops killed in Afghanistan attack,2 - possibly,
sentence_similarity,Sentence 1: Colorado shooting suspect was in therapy Sentence 2: Lawyers: Colo. shooting suspect is mentally ill,4 - almost perfectly,
sentence_similarity,Sentence 1: A man is playing the drums. Sentence 2: A man is playing guitar.,2 - possibly,
sentence_similarity,Sentence 1: A woman is putting her baby in a waste bin. Sentence 2: The woman is poking holes in the potato.,0 - definitely not,
sentence_similarity,Sentence 1: A puppy is trying to come out from the sink. Sentence 2: The puppy tried to get out of the tub.,3 - probably,
sentence_similarity,Sentence 1: A woman is peeling an orange. Sentence 2: A woman cuts off a small piece of lemon rind.,2 - possibly,
sentence_similarity,Sentence 1: The man is playing the guitar. Sentence 2: A man is playing a guitar.,5 - perfectly,
sentence_similarity,Sentence 1: Breivik complains of 'ridicule' Sentence 2: Breivik: Jail term 'ridiculous',2 - possibly,
sentence_similarity,Sentence 1: Five dead in Pakistan suicide blast Sentence 2: Over 120 dead in Pakistan factory blaze,1 - probably not,
sentence_similarity,Sentence 1: Two people sitting on a large motorcycle. Sentence 2: Two eagles sitting on a long branch.,0 - definitely not,
sentence_similarity,Sentence 1: A plane rides on a road. Sentence 2: An airplane moves along a runway.,3 - probably,
sentence_similarity,Sentence 1: Motorists killed after Japanese tunnel collapses Sentence 2: Cars trapped in tunnel collapse outside Tokyo,2 - possibly,
sentence_similarity,Sentence 1: South Africa train crash kills at least 19 Sentence 2: South Africa train crash kills 26,4 - almost perfectly,
sentence_similarity,Sentence 1: One man is breaking cement on another man's chest. Sentence 2: A man breaks cinder blocks on another man.,4 - almost perfectly,
sentence_similarity,Sentence 1: Libya asks UN Security Council for help Sentence 2: Kerry Calls On UN Security Council to Act on Syria,2 - possibly,
sentence_similarity,Sentence 1: The cook is kneading the flour. Sentence 2: A woman is kneading tortilla dough.,3 - probably,
sentence_similarity,Sentence 1: Roadside bomb kills 10 Afghan civilians: police Sentence 2: Roadside bomb kills 5 Afghan policemen,3 - probably,
sentence_similarity,Sentence 1: Nelson Mandela undergoes surgery Sentence 2: ‘Nelson Mandela is recovering’,2 - possibly,
sentence_similarity,Sentence 1: A man is drilling a hole in a board. Sentence 2: Someone is drilling a hole in a piece of wood.,4 - almost perfectly,
sentence_similarity,Sentence 1: A woman equestrian riding a horse. Sentence 2: The woman is riding on the brown horse.,4 - almost perfectly,
sentence_similarity,"Sentence 1: The Note's Must-Reads for Friday, December 6, 2013 Sentence 2: The Note's Must-Reads for Friday, July 12, 2013",2 - possibly,
