task,input,output
active_to_passive,The tourist supported the authors.,The authors were supported by the tourist.
active_to_passive,The athlete contacted the tourists.,The tourists were contacted by the athlete.
active_to_passive,The judges believed the bankers.,The bankers were believed by the judges.
active_to_passive,The president encouraged the actor.,The actor was encouraged by the president.
active_to_passive,The lawyers believed the authors.,The authors were believed by the lawyers.
active_to_passive,The senator advised the doctors.,The doctors were advised by the senator.
active_to_passive,The authors advised the student.,The student was advised by the authors.
active_to_passive,The secretaries believed the tourists.,The tourists were believed by the secretaries.
active_to_passive,The tourists recommended the bankers.,The bankers were recommended by the tourists.
active_to_passive,The student believed the professors.,The professors were believed by the student.
active_to_passive,The tourist admired the managers.,The managers were admired by the tourist.
active_to_passive,The tourist contacted the bankers.,The bankers were contacted by the tourist.
active_to_passive,The president introduced the senators.,The senators were introduced by the president.
active_to_passive,The senators advised the presidents.,The presidents were advised by the senators.
active_to_passive,The banker contacted the professor.,The professor was contacted by the banker.
active_to_passive,The lawyer thanked the presidents.,The presidents were thanked by the lawyer.
active_to_passive,The students supported the lawyers.,The lawyers were supported by the students.
active_to_passive,The managers recognized the author.,The author was recognized by the managers.
active_to_passive,The athletes helped the managers.,The managers were helped by the athletes.
active_to_passive,The judges stopped the lawyers.,The lawyers were stopped by the judges.
active_to_passive,The president advised the artists.,The artists were advised by the president.
active_to_passive,The doctor believed the scientists.,The scientists were believed by the doctor.
active_to_passive,The secretary encouraged the lawyers.,The lawyers were encouraged by the secretary.
active_to_passive,The senator avoided the bankers.,The bankers were avoided by the senator.
active_to_passive,The tourist believed the doctor.,The doctor was believed by the tourist.
active_to_passive,The students helped the authors.,The authors were helped by the students.
active_to_passive,The artist thanked the lawyers.,The lawyers were thanked by the artist.
active_to_passive,The presidents recommended the student.,The student was recommended by the presidents.
active_to_passive,The athlete helped the artist.,The artist was helped by the athlete.
active_to_passive,The judge stopped the lawyer.,The lawyer was stopped by the judge.
active_to_passive,The senators advised the professors.,The professors were advised by the senators.
active_to_passive,The artist introduced the scientist.,The scientist was introduced by the artist.
active_to_passive,The scientist mentioned the judge.,The judge was mentioned by the scientist.
active_to_passive,The senator avoided the tourists.,The tourists were avoided by the senator.
active_to_passive,The senator supported the managers.,The managers were supported by the senator.
active_to_passive,The lawyer recognized the senators.,The senators were recognized by the lawyer.
active_to_passive,The professors helped the managers.,The managers were helped by the professors.
active_to_passive,The lawyer supported the tourists.,The tourists were supported by the lawyer.
active_to_passive,The artist advised the scientists.,The scientists were advised by the artist.
active_to_passive,The secretary avoided the senator.,The senator was avoided by the secretary.
active_to_passive,The tourists recognized the lawyer.,The lawyer was recognized by the tourists.
active_to_passive,The professors advised the athlete.,The athlete was advised by the professors.
active_to_passive,The tourists recommended the lawyer.,The lawyer was recommended by the tourists.
active_to_passive,The athlete mentioned the scientist.,The scientist was mentioned by the athlete.
active_to_passive,The judges supported the lawyer.,The lawyer was supported by the judges.
active_to_passive,The scientist encouraged the authors.,The authors were encouraged by the scientist.
active_to_passive,The author advised the judge.,The judge was advised by the author.
active_to_passive,The secretaries supported the scientists.,The scientists were supported by the secretaries.
active_to_passive,The student supported the professors.,The professors were supported by the student.
active_to_passive,The banker introduced the athletes.,The athletes were introduced by the banker.
active_to_passive,The doctors helped the professor.,The professor was helped by the doctors.
active_to_passive,The student recommended the judges.,The judges were recommended by the student.
active_to_passive,The artist advised the professor.,The professor was advised by the artist.
active_to_passive,The secretaries advised the banker.,The banker was advised by the secretaries.
active_to_passive,The banker advised the judge.,The judge was advised by the banker.
active_to_passive,The managers introduced the scientist.,The scientist was introduced by the managers.
active_to_passive,The authors contacted the secretaries.,The secretaries were contacted by the authors.
active_to_passive,The actor stopped the bankers.,The bankers were stopped by the actor.
active_to_passive,The doctor encouraged the scientist.,The scientist was encouraged by the doctor.
active_to_passive,The senators introduced the banker.,The banker was introduced by the senators.
active_to_passive,The authors stopped the lawyers.,The lawyers were stopped by the authors.
active_to_passive,The managers introduced the bankers.,The bankers were introduced by the managers.
active_to_passive,The scientist encouraged the doctors.,The doctors were encouraged by the scientist.
active_to_passive,The lawyer contacted the students.,The students were contacted by the lawyer.
active_to_passive,The professor mentioned the scientists.,The scientists were mentioned by the professor.
active_to_passive,The judge recommended the lawyer.,The lawyer was recommended by the judge.
active_to_passive,The professors believed the manager.,The manager was believed by the professors.
active_to_passive,The bankers advised the scientist.,The scientist was advised by the bankers.
active_to_passive,The author thanked the artist.,The artist was thanked by the author.
active_to_passive,The artist helped the senators.,The senators were helped by the artist.
active_to_passive,The lawyer avoided the secretaries.,The secretaries were avoided by the lawyer.
active_to_passive,The doctor recognized the actors.,The actors were recognized by the doctor.
active_to_passive,The presidents recognized the scientist.,The scientist was recognized by the presidents.
active_to_passive,The athlete introduced the president.,The president was introduced by the athlete.
active_to_passive,The tourists helped the doctors.,The doctors were helped by the tourists.
active_to_passive,The manager introduced the president.,The president was introduced by the manager.
active_to_passive,The manager recommended the authors.,The authors were recommended by the manager.
active_to_passive,The scientists recognized the managers.,The managers were recognized by the scientists.
active_to_passive,The scientist encouraged the banker.,The banker was encouraged by the scientist.
active_to_passive,The doctors introduced the actor.,The actor was introduced by the doctors.
active_to_passive,The doctors stopped the scientists.,The scientists were stopped by the doctors.
active_to_passive,The secretary thanked the judges.,The judges were thanked by the secretary.
active_to_passive,The athletes thanked the scientist.,The scientist was thanked by the athletes.
active_to_passive,The bankers helped the lawyer.,The lawyer was helped by the bankers.
active_to_passive,The athlete avoided the actor.,The actor was avoided by the athlete.
active_to_passive,The judges encouraged the students.,The students were encouraged by the judges.
active_to_passive,The scientist stopped the banker.,The banker was stopped by the scientist.
active_to_passive,The senator mentioned the secretaries.,The secretaries were mentioned by the senator.
active_to_passive,The managers mentioned the student.,The student was mentioned by the managers.
active_to_passive,The presidents supported the senator.,The senator was supported by the presidents.
active_to_passive,The scientists advised the professor.,The professor was advised by the scientists.
active_to_passive,The actor encouraged the scientists.,The scientists were encouraged by the actor.
active_to_passive,The actors stopped the manager.,The manager was stopped by the actors.
active_to_passive,The tourists contacted the actors.,The actors were contacted by the tourists.
active_to_passive,The actor recommended the professor.,The professor was recommended by the actor.
active_to_passive,The manager mentioned the senators.,The senators were mentioned by the manager.
active_to_passive,The bankers recommended the senators.,The senators were recommended by the bankers.
active_to_passive,The manager helped the professors.,The professors were helped by the manager.
active_to_passive,The president encouraged the professor.,The professor was encouraged by the president.
active_to_passive,The scientist recommended the president.,The president was recommended by the scientist.
active_to_passive,The secretary stopped the presidents.,The presidents were stopped by the secretary.
active_to_passive,The author stopped the professor.,The professor was stopped by the author.
active_to_passive,The judges admired the student.,The student was admired by the judges.
active_to_passive,The doctors thanked the senator.,The senator was thanked by the doctors.
active_to_passive,The manager recognized the doctors.,The doctors were recognized by the manager.
active_to_passive,The athlete believed the managers.,The managers were believed by the athlete.
active_to_passive,The president believed the professors.,The professors were believed by the president.
active_to_passive,The student encouraged the professor.,The professor was encouraged by the student.
active_to_passive,The president admired the lawyers.,The lawyers were admired by the president.
active_to_passive,The athletes admired the students.,The students were admired by the athletes.
active_to_passive,The secretaries introduced the doctor.,The doctor was introduced by the secretaries.
active_to_passive,The scientists supported the athletes.,The athletes were supported by the scientists.
active_to_passive,The actors encouraged the lawyers.,The lawyers were encouraged by the actors.
