,task,input,output
17,active_to_passive,The managers recognized the author.,The author was recognized by the managers.
642,active_to_passive,The athletes introduced the professor.,The professor was introduced by the athletes.
392,active_to_passive,The artist introduced the lawyer.,The lawyer was introduced by the artist.
431,active_to_passive,The student admired the athlete.,The athlete was admired by the student.
145,active_to_passive,The lawyer thanked the athlete.,The athlete was thanked by the lawyer.
695,active_to_passive,The judge advised the scientists.,The scientists were advised by the judge.
535,active_to_passive,The secretary encouraged the manager.,The manager was encouraged by the secretary.
354,active_to_passive,The doctor believed the senator.,The senator was believed by the doctor.
64,active_to_passive,The professor mentioned the scientists.,The scientists were mentioned by the professor.
244,active_to_passive,The tourists contacted the scientist.,The scientist was contacted by the tourists.
559,active_to_passive,The actor avoided the professors.,The professors were avoided by the actor.
226,active_to_passive,The manager contacted the actor.,The actor was contacted by the manager.
495,active_to_passive,The secretary recommended the students.,The students were recommended by the secretary.
426,active_to_passive,The scientists admired the secretaries.,The secretaries were admired by the scientists.
821,active_to_passive,The athlete introduced the author.,The author was introduced by the athlete.
437,active_to_passive,The author avoided the senators.,The senators were avoided by the author.
761,active_to_passive,The students contacted the doctors.,The doctors were contacted by the students.
182,active_to_passive,The tourists recommended the student.,The student was recommended by the tourists.
83,active_to_passive,The bankers helped the lawyer.,The lawyer was helped by the bankers.
267,active_to_passive,The judges admired the author.,The author was admired by the judges.
232,active_to_passive,The athlete encouraged the banker.,The banker was encouraged by the athlete.
248,active_to_passive,The athlete avoided the managers.,The managers were avoided by the athlete.
773,active_to_passive,The actor mentioned the senators.,The senators were mentioned by the actor.
126,active_to_passive,The doctor advised the athletes.,The athletes were advised by the doctor.
173,active_to_passive,The actors recommended the secretaries.,The secretaries were recommended by the actors.
87,active_to_passive,The senator mentioned the secretaries.,The secretaries were mentioned by the senator.
44,active_to_passive,The judges supported the lawyer.,The lawyer was supported by the judges.
253,active_to_passive,The presidents recommended the artist.,The artist was recommended by the presidents.
882,active_to_passive,The tourist contacted the authors.,The authors were contacted by the tourist.
625,active_to_passive,The athlete believed the actors.,The actors were believed by the athlete.
455,active_to_passive,The presidents contacted the managers.,The managers were contacted by the presidents.
296,active_to_passive,The secretary mentioned the manager.,The manager was mentioned by the secretary.
221,active_to_passive,The actors thanked the doctor.,The doctor was thanked by the actors.
297,active_to_passive,The manager believed the lawyer.,The lawyer was believed by the manager.
772,active_to_passive,The actor believed the secretaries.,The secretaries were believed by the actor.
49,active_to_passive,The banker introduced the athletes.,The athletes were introduced by the banker.
422,active_to_passive,The managers believed the actors.,The actors were believed by the managers.
663,active_to_passive,The authors introduced the judge.,The judge was introduced by the authors.
804,active_to_passive,The judge recognized the students.,The students were recognized by the judge.
897,active_to_passive,The student helped the tourists.,The tourists were helped by the student.
144,active_to_passive,The professor advised the artists.,The artists were advised by the professor.
594,active_to_passive,The managers avoided the actors.,The actors were avoided by the managers.
876,active_to_passive,The scientist helped the students.,The students were helped by the scientist.
200,active_to_passive,The judge mentioned the tourist.,The tourist was mentioned by the judge.
581,active_to_passive,The banker advised the author.,The author was advised by the banker.
246,active_to_passive,The managers mentioned the artist.,The artist was mentioned by the managers.
519,active_to_passive,The bankers admired the author.,The author was admired by the bankers.
776,active_to_passive,The artist stopped the secretary.,The secretary was stopped by the artist.
134,active_to_passive,The judges helped the artists.,The artists were helped by the judges.
574,active_to_passive,The athletes stopped the manager.,The manager was stopped by the athletes.
111,active_to_passive,The scientists supported the athletes.,The athletes were supported by the scientists.
1,active_to_passive,The athlete contacted the tourists.,The tourists were contacted by the athlete.
770,active_to_passive,The scientists thanked the tourists.,The tourists were thanked by the scientists.
30,active_to_passive,The senators advised the professors.,The professors were advised by the senators.
887,active_to_passive,The judge supported the artists.,The artists were supported by the judge.
100,active_to_passive,The secretary stopped the presidents.,The presidents were stopped by the secretary.
434,active_to_passive,The athletes recommended the professor.,The professor was recommended by the athletes.
51,active_to_passive,The student recommended the judges.,The judges were recommended by the student.
444,active_to_passive,The secretary admired the author.,The author was admired by the secretary.
585,active_to_passive,The president introduced the secretary.,The secretary was introduced by the president.
298,active_to_passive,The actor introduced the bankers.,The bankers were introduced by the actor.
282,active_to_passive,The president advised the judges.,The judges were advised by the president.
860,active_to_passive,The students helped the managers.,The managers were helped by the students.
210,active_to_passive,The author admired the presidents.,The presidents were admired by the author.
575,active_to_passive,The actor avoided the tourist.,The tourist was avoided by the actor.
439,active_to_passive,The banker contacted the lawyers.,The lawyers were contacted by the banker.
287,active_to_passive,The judges advised the lawyer.,The lawyer was advised by the judges.
780,active_to_passive,The scientists thanked the athletes.,The athletes were thanked by the scientists.
579,active_to_passive,The artist believed the scientists.,The scientists were believed by the artist.
538,active_to_passive,The judge recommended the doctors.,The doctors were recommended by the judge.
499,active_to_passive,The student stopped the senator.,The senator was stopped by the student.
193,active_to_passive,The secretary recognized the tourists.,The tourists were recognized by the secretary.
328,active_to_passive,The secretary introduced the senator.,The senator was introduced by the secretary.
848,active_to_passive,The student encouraged the tourists.,The tourists were encouraged by the student.
265,active_to_passive,The professors believed the senator.,The senator was believed by the professors.
65,active_to_passive,The judge recommended the lawyer.,The lawyer was recommended by the judge.
839,active_to_passive,The artists recommended the tourists.,The tourists were recommended by the artists.
137,active_to_passive,The banker avoided the doctors.,The doctors were avoided by the banker.
622,active_to_passive,The lawyer avoided the managers.,The managers were avoided by the lawyer.
85,active_to_passive,The judges encouraged the students.,The students were encouraged by the judges.
760,active_to_passive,The judges admired the secretary.,The secretary was admired by the judges.
794,active_to_passive,The authors supported the artist.,The artist was supported by the authors.
722,active_to_passive,The athletes recognized the judge.,The judge was recognized by the athletes.
409,active_to_passive,The secretary avoided the doctors.,The doctors were avoided by the secretary.
532,active_to_passive,The manager thanked the scientists.,The scientists were thanked by the manager.
28,active_to_passive,The athlete helped the artist.,The artist was helped by the athlete.
556,active_to_passive,The actor contacted the tourists.,The tourists were contacted by the actor.
371,active_to_passive,The author contacted the managers.,The managers were contacted by the author.
710,active_to_passive,The professor helped the actor.,The actor was helped by the professor.
560,active_to_passive,The author recommended the manager.,The manager was recommended by the author.
472,active_to_passive,The artists avoided the judge.,The judge was avoided by the artists.
566,active_to_passive,The presidents contacted the senator.,The senator was contacted by the presidents.
777,active_to_passive,The actors avoided the tourists.,The tourists were avoided by the actors.
37,active_to_passive,The lawyer supported the tourists.,The tourists were supported by the lawyer.
387,active_to_passive,The athlete helped the lawyer.,The lawyer was helped by the athlete.
209,active_to_passive,The professor avoided the doctors.,The doctors were avoided by the professor.
375,active_to_passive,The professors contacted the banker.,The banker was contacted by the professors.
655,active_to_passive,The secretaries mentioned the artist.,The artist was mentioned by the secretaries.
194,active_to_passive,The doctors advised the professors.,The professors were advised by the doctors.
469,active_to_passive,The doctor advised the president.,The president was advised by the doctor.
889,active_to_passive,The lawyers recommended the tourist.,The tourist was recommended by the lawyers.
299,active_to_passive,The student contacted the secretaries.,The secretaries were contacted by the student.
276,active_to_passive,The actor stopped the professor.,The professor was stopped by the actor.
677,active_to_passive,The secretary supported the actor.,The actor was supported by the secretary.
781,active_to_passive,The tourist helped the president.,The president was helped by the tourist.
185,active_to_passive,The athletes introduced the doctors.,The doctors were introduced by the athletes.
313,active_to_passive,The banker admired the managers.,The managers were admired by the banker.
380,active_to_passive,The presidents contacted the actor.,The actor was contacted by the presidents.
684,active_to_passive,The doctors thanked the author.,The author was thanked by the doctors.
638,active_to_passive,The judges recommended the athlete.,The athlete was recommended by the judges.
196,active_to_passive,The senator recognized the managers.,The managers were recognized by the senator.
255,active_to_passive,The doctor supported the professors.,The professors were supported by the doctor.
572,active_to_passive,The artists introduced the managers.,The managers were introduced by the artists.
468,active_to_passive,The actor encouraged the judge.,The judge was encouraged by the actor.
105,active_to_passive,The athlete believed the managers.,The managers were believed by the athlete.
496,active_to_passive,The students recognized the banker.,The banker was recognized by the students.
736,active_to_passive,The president thanked the artists.,The artists were thanked by the president.
493,active_to_passive,The tourists admired the presidents.,The presidents were admired by the tourists.
838,active_to_passive,The lawyers supported the secretary.,The secretary was supported by the lawyers.
198,active_to_passive,The senators recognized the scientists.,The scientists were recognized by the senators.
189,active_to_passive,The authors recognized the scientist.,The scientist was recognized by the authors.
589,active_to_passive,The lawyers mentioned the president.,The president was mentioned by the lawyers.
274,active_to_passive,The secretaries stopped the presidents.,The presidents were stopped by the secretaries.
583,active_to_passive,The tourists admired the artists.,The artists were admired by the tourists.
462,active_to_passive,The managers introduced the authors.,The authors were introduced by the managers.
891,active_to_passive,The athletes avoided the banker.,The banker was avoided by the athletes.
729,active_to_passive,The bankers admired the manager.,The manager was admired by the bankers.
160,active_to_passive,The doctors advised the actor.,The actor was advised by the doctors.
526,active_to_passive,The senator believed the banker.,The banker was believed by the senator.
866,active_to_passive,The judges thanked the athlete.,The athlete was thanked by the judges.
527,active_to_passive,The student admired the banker.,The banker was admired by the student.
487,active_to_passive,The judges thanked the tourists.,The tourists were thanked by the judges.
573,active_to_passive,The doctors supported the athlete.,The athlete was supported by the doctors.
654,active_to_passive,The student advised the manager.,The manager was advised by the student.
424,active_to_passive,The professor supported the managers.,The managers were supported by the professor.
269,active_to_passive,The artists recognized the banker.,The banker was recognized by the artists.
486,active_to_passive,The secretary believed the senators.,The senators were believed by the secretary.
3,active_to_passive,The president encouraged the actor.,The actor was encouraged by the president.
587,active_to_passive,The senator advised the athletes.,The athletes were advised by the senator.
146,active_to_passive,The judges avoided the secretaries.,The secretaries were avoided by the judges.
337,active_to_passive,The doctors advised the author.,The author was advised by the doctors.
834,active_to_passive,The artist supported the senators.,The senators were supported by the artist.
867,active_to_passive,The author helped the scientist.,The scientist was helped by the author.
403,active_to_passive,The tourists admired the manager.,The manager was admired by the tourists.
582,active_to_passive,The scientists thanked the lawyer.,The lawyer was thanked by the scientists.
669,active_to_passive,The presidents thanked the actors.,The actors were thanked by the presidents.
510,active_to_passive,The students advised the professor.,The professor was advised by the students.
645,active_to_passive,The scientist contacted the actors.,The actors were contacted by the scientist.
797,active_to_passive,The tourists encouraged the artists.,The artists were encouraged by the tourists.
349,active_to_passive,The author recommended the tourists.,The tourists were recommended by the author.
576,active_to_passive,The lawyers encouraged the professors.,The professors were encouraged by the lawyers.
846,active_to_passive,The presidents advised the lawyer.,The lawyer was advised by the presidents.
335,active_to_passive,The lawyers recommended the athlete.,The athlete was recommended by the lawyers.
830,active_to_passive,The athlete recommended the president.,The president was recommended by the athlete.
127,active_to_passive,The athletes thanked the lawyer.,The lawyer was thanked by the athletes.
384,active_to_passive,The tourist thanked the actors.,The actors were thanked by the tourist.
347,active_to_passive,The banker mentioned the judge.,The judge was mentioned by the banker.
505,active_to_passive,The lawyer admired the authors.,The authors were admired by the lawyer.
360,active_to_passive,The professors mentioned the presidents.,The presidents were mentioned by the professors.
541,active_to_passive,The professor helped the actors.,The actors were helped by the professor.
784,active_to_passive,The doctors believed the authors.,The authors were believed by the doctors.
355,active_to_passive,The judge avoided the managers.,The managers were avoided by the judge.
234,active_to_passive,The senators advised the actor.,The actor was advised by the senators.
268,active_to_passive,The doctors contacted the authors.,The authors were contacted by the doctors.
153,active_to_passive,The managers stopped the doctor.,The doctor was stopped by the managers.
708,active_to_passive,The presidents thanked the senators.,The senators were thanked by the presidents.
357,active_to_passive,The manager contacted the president.,The president was contacted by the manager.
755,active_to_passive,The student recognized the doctors.,The doctors were recognized by the student.
746,active_to_passive,The tourist contacted the managers.,The managers were contacted by the tourist.
108,active_to_passive,The president admired the lawyers.,The lawyers were admired by the president.
720,active_to_passive,The judge thanked the author.,The author was thanked by the judge.
450,active_to_passive,The scientist recommended the senators.,The senators were recommended by the scientist.
577,active_to_passive,The scientists recommended the tourist.,The tourist was recommended by the scientists.
61,active_to_passive,The managers introduced the bankers.,The bankers were introduced by the managers.
16,active_to_passive,The students supported the lawyers.,The lawyers were supported by the students.
639,active_to_passive,The professors contacted the senator.,The senator was contacted by the professors.
875,active_to_passive,The actor thanked the president.,The president was thanked by the actor.
749,active_to_passive,The secretary believed the president.,The president was believed by the secretary.
157,active_to_passive,The scientist believed the author.,The author was believed by the scientist.
621,active_to_passive,The scientists recommended the president.,The president was recommended by the scientists.
862,active_to_passive,The artists recognized the manager.,The manager was recognized by the artists.
117,active_to_passive,The tourist encouraged the banker.,The banker was encouraged by the tourist.
477,active_to_passive,The secretaries thanked the athlete.,The athlete was thanked by the secretaries.
430,active_to_passive,The manager admired the bankers.,The bankers were admired by the manager.
113,active_to_passive,The secretaries encouraged the authors.,The authors were encouraged by the secretaries.
606,active_to_passive,The student mentioned the banker.,The banker was mentioned by the student.
373,active_to_passive,The author introduced the bankers.,The bankers were introduced by the author.
334,active_to_passive,The lawyer encouraged the senators.,The senators were encouraged by the lawyer.
785,active_to_passive,The athlete advised the secretary.,The secretary was advised by the athlete.
368,active_to_passive,The athletes supported the senators.,The senators were supported by the athletes.
95,active_to_passive,The manager mentioned the senators.,The senators were mentioned by the manager.
602,active_to_passive,The scientist mentioned the student.,The student was mentioned by the scientist.
138,active_to_passive,The judge recognized the senator.,The senator was recognized by the judge.
488,active_to_passive,The president thanked the actor.,The actor was thanked by the president.
359,active_to_passive,The tourist advised the doctors.,The doctors were advised by the tourist.
74,active_to_passive,The tourists helped the doctors.,The doctors were helped by the tourists.
620,active_to_passive,The athletes admired the senator.,The senator was admired by the athletes.
191,active_to_passive,The secretaries believed the senator.,The senator was believed by the secretaries.
869,active_to_passive,The author stopped the scientist.,The scientist was stopped by the author.
377,active_to_passive,The banker supported the students.,The students were supported by the banker.
53,active_to_passive,The secretaries advised the banker.,The banker was advised by the secretaries.
856,active_to_passive,The judges thanked the doctors.,The doctors were thanked by the judges.
712,active_to_passive,The professor recognized the tourist.,The tourist was recognized by the professor.
501,active_to_passive,The scientists helped the athletes.,The athletes were helped by the scientists.
792,active_to_passive,The actors believed the judges.,The judges were believed by the actors.
264,active_to_passive,The lawyers introduced the senator.,The senator was introduced by the lawyers.
844,active_to_passive,The student advised the scientists.,The scientists were advised by the student.
595,active_to_passive,The actors admired the doctors.,The doctors were admired by the actors.
612,active_to_passive,The doctors recommended the judge.,The judge was recommended by the doctors.
626,active_to_passive,The tourist contacted the doctor.,The doctor was contacted by the tourist.
724,active_to_passive,The professor admired the lawyers.,The lawyers were admired by the professor.
344,active_to_passive,The judge advised the author.,The author was advised by the judge.
358,active_to_passive,The student avoided the managers.,The managers were avoided by the student.
249,active_to_passive,The tourists helped the secretaries.,The secretaries were helped by the tourists.
604,active_to_passive,The judges advised the doctors.,The doctors were advised by the judges.
